                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.84475,                 2.0052,                 1.6996,                 1.1986,                0.41489,                0.40265,                0.40311,                0.30048,                0.41302,                0.40082,                0.40155,                0.28934,                0.91227,                 2.0914,                 1.6315,                 1.2925,             0.00035275,             0.00035275,             0.00035275
                     25,                 0.8399,                 1.9645,                 1.6365,                 1.1932,                0.46784,                0.34236,                0.35206,                0.28586,                0.46595,                0.34017,                 0.3503,                0.27314,                0.92631,                 2.0653,                 1.6514,                 1.3219,             0.00034038,             0.00034038,             0.00034038
                     26,                0.82251,                 1.9885,                 1.6311,                 1.1795,                0.53096,                0.45222,                0.49018,                0.40175,                0.53069,                0.45255,                0.49111,                0.37494,                0.88092,                 2.0557,                 1.6395,                 1.2782,               0.000328,               0.000328,               0.000328
                     27,                0.81113,                 1.9456,                 1.6589,                 1.1748,                0.41381,                0.50634,                0.47436,                0.38576,                0.41902,                0.51139,                0.48095,                0.36881,                0.92566,                 1.9644,                 1.5652,                 1.3174,             0.00031562,             0.00031562,             0.00031562
                     28,                0.80226,                 1.9024,                 1.5959,                 1.1659,                0.46103,                0.36111,                0.37782,                0.29408,                0.46103,                0.36111,                0.37648,                0.28386,                0.89736,                 1.9643,                 1.5058,                 1.2929,             0.00030325,             0.00030325,             0.00030325
                     29,                0.79061,                 1.9133,                 1.5539,                 1.1501,                0.39097,                0.38696,                0.39484,                0.31134,                0.38903,                0.38477,                0.39329,                0.27737,                0.93515,                 2.1065,                  1.649,                  1.329,             0.00029088,             0.00029088,             0.00029088
                     30,                0.79152,                 1.9202,                 1.5445,                 1.1549,                0.37856,                0.36077,                0.36668,                0.30008,                0.37407,                0.35629,                0.36375,                0.26291,                0.92134,                 2.1455,                  1.545,                 1.3063,              0.0002785,              0.0002785,              0.0002785
                     31,                0.79517,                 1.8822,                 1.5297,                 1.1494,                0.43241,                0.40267,                0.39662,                0.32343,                0.43008,                0.40048,                0.39489,                0.28726,                0.86985,                 2.0868,                 1.5092,                 1.2612,             0.00026613,             0.00026613,             0.00026613
                     32,                0.74596,                 1.8167,                  1.481,                 1.1351,                0.48371,                0.47213,                 0.4846,                0.39388,                0.48493,                0.47432,                0.48666,                0.36645,                0.89062,                 1.9812,                 1.5351,                 1.2833,             0.00025375,             0.00025375,             0.00025375
                     33,                0.75296,                 1.8479,                 1.4256,                  1.141,                0.38075,                0.39383,                0.40362,                0.33682,                0.37586,                0.38911,                0.40001,                0.30576,                0.83701,                 1.9712,                 1.4723,                 1.2645,             0.00024137,             0.00024137,             0.00024137
                     34,                 0.7595,                 1.8392,                  1.422,                 1.1381,                0.38058,                0.47404,                0.40876,                0.34842,                0.38058,                0.47404,                 0.4088,                0.31161,                0.86858,                 2.0968,                 1.4908,                 1.2666,               0.000229,               0.000229,               0.000229
